a_sku_id,b_url,c_price,c_price1,c_price2_x,c_price3_x,c_price4_x,c_price5_x,c_price6_x,c_price7_x,c_price8_x,c_price9_x,c_price10_x,c_price2_y,c_price3_y,c_price4_y,c_price5_y,c_price6_y,c_price7_y,c_price8_y,c_price9_y,c_price10_y,c_price2,d2018-11-02 10:28:55
723072,http://www.banggo.com/goods/723072.shtml,142.9,142.9,142.9,142.9,142.9,142.9,142.9,139.9,269.0,,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0
723074,http://www.banggo.com/goods/723074.shtml,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,129.9,129.9,239.0
723098,http://www.banggo.com/goods/723098.shtml,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,129.9,129.9,239.0
723099,http://www.banggo.com/goods/723099.shtml,170.9,170.9,170.9,170.9,170.9,170.9,170.9,170.9,170.9,,170.9,170.9,170.9,170.9,170.9,170.9,170.9,170.9,170.9,161.9,161.9,299.0
723100,http://www.banggo.com/goods/723100.shtml,129.9,129.9,129.9,129.9,129.9,129.9,129.9,119.9,119.9,,119.9,119.9,129.9,129.9,129.9,119.9,119.9,129.9,129.9,119.9,119.9,239.0
726305,http://www.banggo.com/goods/726305.shtml,55.9,55.9,55.9,55.9,55.9,55.9,55.9,50.9,50.9,,50.9,50.9,50.9,55.9,55.9,55.9,55.9,55.9,55.9,50.9,50.9,169.0
726343,http://www.banggo.com/goods/726343.shtml,78.9,78.9,78.9,78.9,78.9,78.9,78.9,71.9,71.9,,71.9,71.9,71.9,78.9,78.9,71.9,71.9,78.9,78.9,71.9,71.9,239.0
726349,http://www.banggo.com/goods/726349.shtml,78.9,78.9,78.9,78.9,78.9,78.9,78.9,71.9,71.9,,71.9,71.9,71.9,78.9,78.9,71.9,71.9,78.9,78.9,71.9,78.9,239.0
726482,http://www.banggo.com/goods/726482.shtml,87.9,87.9,87.9,87.9,87.9,87.9,87.9,80.9,80.9,,80.9,80.9,80.9,87.9,87.9,80.9,80.9,87.9,87.9,80.9,80.9,269.0
734059,http://www.banggo.com/goods/734059.shtml,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,102.9,102.9,107.9
